Name,Date1,Date2,Platform,Mode,Orbit,RelativeOrbit,PolyFrame,OrbitDirection,ProcessingLevel,Polarisation1,Polarisation2,Polarisation3,Polarisation4,Server,Url,Status,SizeMB,Stored,Processed
S1A_IW_SLC__1SDV_20211213T145308_20211213T145336_040991_04DE74_1A59.zip,2021-12-13T14:53:08.391Z,2021-12-13T14:53:36.275Z,S1A,IW,40991,144,"POLYGON ((54.084656 -22.966635, 56.496605 -22.396927, 56.037491 -20.729706, 53.655251 -21.290474, 54.084656 -22.966635))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/cfc9fbf4-c055-5a3f-98f8-9a3a541bf85e,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20211201T145308_20211201T145336_040816_04D873_423A.zip,2021-12-01T14:53:08.788Z,2021-12-01T14:53:36.669Z,S1A,IW,40816,144,"POLYGON ((54.084663 -22.967142, 56.496666 -22.397474, 56.037617 -20.730368, 53.655327 -21.291098, 54.084663 -22.967142))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/f278448b-a1a4-57b0-a1af-af2d1eb3ae0a,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20211119T145309_20211119T145337_040641_04D253_F01B.zip,2021-11-19T14:53:09.399Z,2021-11-19T14:53:37.287Z,S1A,IW,40641,144,"POLYGON ((54.083801 -22.967194, 56.495853 -22.397524, 56.036716 -20.730049, 53.654381 -21.290779, 54.083801 -22.967194))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/9d46f711-635c-5d93-9a25-bc0447689693,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20211119T145309_20211119T145337_040641_04D253_5B77.zip,2021-11-19T14:53:09.399Z,2021-11-19T14:53:37.287Z,S1A,IW,40641,144,"POLYGON ((54.083801 -22.967194, 56.495853 -22.397524, 56.036716 -20.730049, 53.654381 -21.290779, 54.083801 -22.967194))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/46bb09be-9b63-562e-a9f0-63e892d7b634,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20211119T145309_20211119T145337_040641_04D253_6BBC.zip,2021-11-19T14:53:09.399Z,2021-11-19T14:53:37.287Z,S1A,IW,40641,144,"POLYGON ((54.083801 -22.967194, 56.495853 -22.397524, 56.036716 -20.730049, 53.654381 -21.290779, 54.083801 -22.967194))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/231f2822-2be2-54e1-9de2-ec6810433960,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20211119T145309_20211119T145337_040641_04D253_DE10.zip,2021-11-19T14:53:09.399Z,2021-11-19T14:53:37.287Z,S1A,IW,40641,144,"POLYGON ((54.083801 -22.967194, 56.495853 -22.397524, 56.036716 -20.730049, 53.654381 -21.290779, 54.083801 -22.967194))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/7b49fda0-f613-58fc-8119-493987f2b4b1,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20211119T145309_20211119T145337_040641_04D253_C69A.zip,2021-11-19T14:53:09.399Z,2021-11-19T14:53:37.287Z,S1A,IW,40641,144,"POLYGON ((54.083801 -22.967194, 56.495853 -22.397524, 56.036716 -20.730049, 53.654381 -21.290779, 54.083801 -22.967194))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/708b756f-d826-5139-9859-076de823c408,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20211107T145309_20211107T145337_040466_04CC4F_B6AF.zip,2021-11-07T14:53:09.516Z,2021-11-07T14:53:37.403Z,S1A,IW,40466,144,"POLYGON ((54.084393 -22.967119, 56.496456 -22.397409, 56.037292 -20.729942, 53.654953 -21.29071, 54.084393 -22.967119))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/a3d7af99-13d8-5eb9-99d5-a6e9269c99c6,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20211026T145309_20211026T145337_040291_04C636_6541.zip,2021-10-26T14:53:09.787Z,2021-10-26T14:53:37.650Z,S1A,IW,40291,144,"POLYGON ((54.084133 -22.967051, 56.496162 -22.397331, 56.037392 -20.731339, 53.655056 -21.292124, 54.084133 -22.967051))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/ccf633c6-6939-5415-ac9d-68b2554ddf62,ONLINE,0.0,False,False
S1A_IW_SLC__1SDV_20211014T145309_20211014T145337_040116_04C015_F9BB.zip,2021-10-14T14:53:09.757Z,2021-10-14T14:53:37.655Z,S1A,IW,40116,144,"POLYGON ((54.084778 -22.967779, 56.496876 -22.398024, 56.037518 -20.729946, 53.655159 -21.290756, 54.084778 -22.967779))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/63257206-6562-5f5c-b617-eaa9866cc85b,ONLINE,0.0,False,False
